# Frequency       Real(mHT)             Imag(mHT)
112265.41940000     0.229582954649298    -2.207871556394686
112265.41975100     0.230908519403240    -2.213266596823164
112265.42010200     0.232245247041819    -2.218687258965875
112265.42045300     0.233593256819505    -2.224133714404388
112265.42080400     0.234952669663010    -2.229606136800922
112265.42115500     0.236323608028636    -2.235104701241592
112265.42150600     0.237706195751417    -2.240629583560387
112265.42185700     0.239100558408308    -2.246180961719748
112265.42220800     0.240506823172332    -2.251759015144539
112265.42255900     0.241925118658337    -2.257363924036367
112265.42291000     0.243355575296001    -2.262995870774271
112265.42326100     0.244798325180770    -2.268655039239243
112265.42361200     0.246253501916086    -2.274341614118689
112265.42396300     0.247721240996578    -2.280055782327628
112265.42431400     0.249201679655684    -2.285797732323569
112265.42466500     0.250694956704273    -2.291567653400919
112265.42501600     0.252201212924380    -2.297365737133100
112265.42536700     0.253720590913416    -2.303192176677593
112265.42571800     0.255253234919088    -2.309047166060076
112265.42606900     0.256799291244054    -2.314930901637897
112265.42642000     0.258358908086633    -2.320843581395068
112265.42677100     0.259932235371911    -2.326785404215907
112265.42712200     0.261519425167729    -2.332756571370342
112265.42747300     0.263120631521774    -2.338757285798609
112265.42782400     0.264736010288790    -2.344787751374213
112265.42817500     0.266365719558279    -2.350848174411460
112265.42852600     0.268009919487910    -2.356938762939701
112265.42887700     0.269668772126706    -2.363059725955334
112265.42922800     0.271342441854893    -2.369211274952070
112265.42957900     0.273031095213515    -2.375393623184453
112265.42993000     0.274734900723508    -2.381606984908714
112265.43028100     0.276454029338130    -2.387851576936198
112265.43063200     0.278188654268679    -2.394127617885981
112265.43098300     0.279938950799349    -2.400435327414289
112265.43133400     0.281705096752686    -2.406774927791606
112265.43168500     0.283487272311332    -2.413146643144112
112265.43203600     0.285285659828531    -2.419550698671453
112265.43238700     0.287100444307094    -2.425987322248015
112265.43273800     0.288931813217079    -2.432456743652945
112265.43308900     0.290779956301792    -2.438959193776005
112265.43344000     0.292645066070820    -2.445494906243516
112265.43379100     0.294527337613474    -2.452064116636720
112265.43414200     0.296426968400244    -2.458667061685469
112265.43449300     0.298344158790336    -2.465303980919329
112265.43484400     0.300279111840842    -2.471975115874059
112265.43519500     0.302232033103473    -2.478680709272819
112265.43554600     0.304203131147190    -2.485421006703024
112265.43589700     0.306192617362964    -2.492196255810608
112265.43624800     0.308200705755661    -2.499006705468536
112265.43659900     0.310227613482356    -2.505852607479897
112265.43695000     0.312273560652545    -2.512734215759727
112265.43730100     0.314338770115083    -2.519651785490504
112265.43765200     0.316423468012740    -2.526605574852049
112265.43800300     0.318527883577788    -2.533595844190624
112265.43835400     0.320652248913828    -2.540622855161113
112265.43870500     0.322796799567244    -2.547686872484302
112265.43905600     0.324961774318025    -2.554788163102959
112265.43940700     0.327147414956351    -2.561926995310407
112265.43975800     0.329353966871587    -2.569103640535749
112265.44010900     0.331581678838241    -2.576318372486635
112265.44046000     0.333830802787164    -2.583571466263904
112265.44081100     0.336101594412775    -2.590863200175372
112265.44116200     0.338394312954000    -2.598193854864956
112265.44151300     0.340709220959987    -2.605563712413075
112265.44186400     0.343046584916243    -2.612973058179593
112265.44221500     0.345406675020470    -2.620422179918988
112265.44256600     0.347789764942603    -2.627911366866178
112265.44291700     0.350196132470652    -2.635440911609229
112265.44326800     0.352626059281269    -2.643011109190266
112265.44361900     0.355079830694011    -2.650622256176352
112265.44397000     0.357557736337619    -2.658274652562604
112265.44432100     0.360060069915237    -2.665968600858501
112265.44467200     0.362587128952708    -2.673704405143463
112265.44502300     0.365139215486152    -2.681482373001026
112265.44537400     0.367716635821669    -2.689302814590178
112265.44572500     0.370319700277551    -2.697166041685287
112265.44607600     0.372948723894001    -2.705072369641988
112265.44642700     0.375604026187208    -2.713022116453169
112265.44677800     0.378285930885297    -2.721015601772900
112265.44712900     0.380994766661104    -2.729053148914660
112265.44748000     0.383730866880501    -2.737135083891644
112265.44783100     0.386494569331919    -2.745261734424236
112265.44818200     0.389286216983133    -2.753433431971328
112265.44853300     0.392106157723685    -2.761650510754503
112265.44888400     0.394954744087870    -2.769913306748692
112265.44923500     0.397832334036466    -2.778222159747220
112265.44958600     0.400739290693181    -2.786577412369528
112265.44993700     0.403675982060882    -2.794979409034531
112265.45028800     0.406642781829377    -2.803428498060146
112265.45063900     0.409640069105707    -2.811925030654099
112265.45099000     0.412668228123490    -2.820469359869556
112265.45134100     0.415727649077838    -2.829061842739873
112265.45169200     0.418818727849348    -2.837702839252001
112265.45204300     0.421941865706434    -2.846392711284007
112265.45239400     0.425097470168491    -2.855131824775684
112265.45274500     0.428285954723507    -2.863920548684208
112265.45309600     0.431507738523170    -2.872759253902964
112265.45344700     0.434763247275529    -2.881648315468865
112265.45379800     0.438052912956062    -2.890588111499685
112265.45414900     0.441377173495436    -2.899579022093790
112265.45450000     0.444736473702911    -2.908621431574842
112265.45485100     0.448131264970745    -2.917715727410369
112265.45520200     0.451562004954465    -2.926862299091855
112265.45555300     0.455029158528319    -2.936061540417605
112265.45590400     0.458533197482929    -2.945313848392046
112265.45625500     0.462074600197883    -2.954619622085608
112265.45660600     0.465653852630671    -2.963979264956545
112265.45695700     0.469271448007451    -2.973393183730421
112265.45730800     0.472927886487826    -2.982861787239233
112265.45765900     0.476623676188706    -2.992385488782956
112265.45801000     0.480359332868121    -3.001964704988650
112265.45836100     0.484135379581979    -3.011599854628224
112265.45871200     0.487952347744487    -3.021291361020534
112265.45906300     0.491810776804813    -3.031039650869458
112265.45941400     0.495711213895768    -3.040845153059760
