# Frequency       Real(mHT)             Imag(mHT)
112265.41940000     0.096271807875739    -1.578210787995134
112265.41975100     0.096633882346153    -1.581008916037282
112265.42010200     0.096998079813532    -1.583817103647818
112265.42045300     0.097364417232366    -1.586635405200713
112265.42080400     0.097732911774320    -1.589463875813377
112265.42115500     0.098103580785443    -1.592302571002799
112265.42150600     0.098476441741784    -1.595151546334145
112265.42185700     0.098851512343753    -1.598010858130459
112265.42220800     0.099228810472614    -1.600880563125165
112265.42255900     0.099608354145372    -1.603760718106874
112265.42291000     0.099990161610860    -1.606651380636923
112265.42326100     0.100374251305529    -1.609552608698164
112265.42361200     0.100760641807559    -1.612464460335931
112265.42396300     0.101149351934753    -1.615386994383545
112265.42431400     0.101540400699572    -1.618320270107329
112265.42466500     0.101933807262493    -1.621264346843677
112265.42501600     0.102329591031713    -1.624219284732651
112265.42536700     0.102727771617463    -1.627185144359174
112265.42571800     0.103128368784537    -1.630161986386129
112265.42606900     0.103531402553918    -1.633149872296196
112265.42642000     0.103936893156293    -1.636148864029142
112265.42677100     0.104344860983797    -1.639159023610908
112265.42712200     0.104755326693552    -1.642180413903807
112265.42747300     0.105168311160415    -1.645213098239864
112265.42782400     0.105583835427884    -1.648257140045816
112265.42817500     0.106001920813632    -1.651312603601820
112265.42852600     0.106422588861438    -1.654379553670774
112265.42887700     0.106845861291272    -1.657458055119160
112265.42922800     0.107271760106840    -1.660548173684423
112265.42957900     0.107700307546725    -1.663649975600197
112265.42993000     0.108131526033583    -1.666763527212926
112265.43028100     0.108565438283805    -1.669888895758051
112265.43063200     0.109002067257799    -1.673026148981094
112265.43098300     0.109441436108326    -1.676175354749976
112265.43133400     0.109883568292293    -1.679336581840175
112265.43168500     0.110328487520201    -1.682509899551590
112265.43203600     0.110776217703561    -1.685695377316482
112265.43238700     0.111226783068913    -1.688893085493770
112265.43273800     0.111680208106382    -1.692103094981596
112265.43308900     0.112136517516199    -1.695325476820832
112265.43344000     0.112595736324963    -1.698560302998653
112265.43379100     0.113057889833332    -1.701807646056749
112265.43414200     0.113523003561582    -1.705067578690313
112265.43449300     0.113991103368215    -1.708340174561062
112265.43484400     0.114462215396732    -1.711625507901023
112265.43519500     0.114936366020238    -1.714923653106918
112265.43554600     0.115413581962444    -1.718234685562810
112265.43589700     0.115893890243513    -1.721558681239385
112265.43624800     0.116377318123678    -1.724895716283655
112265.43659900     0.116863893226714    -1.728245867851408
